Feature	r2_score	cell_count_coef	dose_coef	intercept
Cytoplasm_RadialDistribution_RadialCV_ER_3of4	0.005030765401891957	-0.0002697237374126411	0.026627503194853238	0.0879545571946286
Cytoplasm_RadialDistribution_RadialCV_ER_4of4	0.002171068477263449	-0.0004087819674176782	0.013228884836719804	0.16156152613995686
Cytoplasm_RadialDistribution_RadialCV_Hoechst_1of4	0.007771937506391602	-0.0002647639414686177	-0.024337477892944825	0.151484036176177
Cytoplasm_RadialDistribution_RadialCV_Hoechst_2of4	0.0030417133679763175	-0.0004996625265853201	0.005905829208687305	0.1834902551298629
Cytoplasm_RadialDistribution_RadialCV_Hoechst_3of4	0.003653504232334015	-0.0004996103279514186	0.012149046044919551	0.14782386215167806
Cytoplasm_RadialDistribution_RadialCV_Hoechst_4of4	0.0027187668720095592	3.248913864720039e-05	-0.018266658459589424	-0.08950697461511611
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_1of4	0.01529640785453612	0.00043610377683345593	0.038247447049232206	-0.34234080920381965
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_2of4	0.03996810446500643	0.0006193519498327092	0.0626989147372317	-0.5187629501149593
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_3of4	0.06984324059778424	0.0008558726652661224	0.08175825224653004	-0.7176374785108459
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_4of4	0.023829549626796398	0.0009163222632416463	0.03741761318655376	-0.672341858509148
Cytoplasm_RadialDistribution_RadialCV_PM_1of4	0.0037237761419143256	0.00011516890549371109	0.021283900435105908	-0.09809167887282988
Cytoplasm_RadialDistribution_RadialCV_PM_2of4	0.020614873144070178	0.0001920946810068063	0.05038644410249428	-0.2179091734600878
Cytoplasm_RadialDistribution_RadialCV_PM_3of4	0.04690128431417162	0.0002353944547524141	0.07605139945516443	-0.3205201266875511
Cytoplasm_RadialDistribution_RadialCV_PM_4of4	0.01266275013717777	1.8615947483790828e-05	0.04099659722057507	-0.1531961440105311
Cytoplasm_Texture_AngularSecondMoment_Actin_3_01_256	0.1291186217243313	0.0016017533828922804	0.08329628035242558	-1.0789294356882584
Cytoplasm_Texture_AngularSecondMoment_ER_3_01_256	0.15805579099023281	0.0012640017843426582	0.12153115589266918	-0.9009485796271105
Cytoplasm_Texture_AngularSecondMoment_Mitochondria_3_01_256	0.07475684629300139	0.0002820562210388909	0.11559568205728055	-0.23191086492969862
Cytoplasm_Texture_AngularSecondMoment_PM_3_01_256	0.011856157291773028	0.0006763820075237573	0.02647468895081216	-0.336545175094659
