Metadata_WellRow	Metadata_WellCol	Metadata_heart_number	Metadata_cell_type	Metadata_heart_failure_type	Metadata_treatment	Metadata_Cells_Location_Center_X	Metadata_Cells_Location_Center_Y	Metadata_Image_Count_Cells	Metadata_ImageNumber	Metadata_Plate	Metadata_Well	Metadata_Cells_Number_Object_Number	Metadata_Cytoplasm_Parent_Cells	Metadata_Cytoplasm_Parent_Nuclei	Metadata_Nuclei_Number_Object_Number	Metadata_Site	UMAP0	UMAP1
B	2	9	failing	rejected	DMSO	493.5119939747693	738.805159103747	27	3.0	localhost230405150001	B02	15.0	15.0	22.0	22.0	f02	-2.6491075	3.8210325
B	2	9	failing	rejected	DMSO	952.0028005601121	777.6367273454691	27	3.0	localhost230405150001	B02	16.0	16.0	24.0	24.0	f02	1.3237649	4.86345
B	2	9	failing	rejected	DMSO	111.41156831650113	764.2188465069694	27	3.0	localhost230405150001	B02	17.0	17.0	25.0	25.0	f02	-1.1857308	1.398228
B	2	9	failing	rejected	DMSO	245.678913214473	804.8313778185632	27	3.0	localhost230405150001	B02	21.0	21.0	29.0	29.0	f02	-2.6347432	3.062839
B	2	9	failing	rejected	DMSO	497.5497729988053	876.338972520908	27	3.0	localhost230405150001	B02	22.0	22.0	31.0	31.0	f02	-2.6230557	3.1665006
B	2	9	failing	rejected	DMSO	112.47700620832376	901.247298229478	27	3.0	localhost230405150001	B02	24.0	24.0	33.0	33.0	f02	-1.4865849	1.7027106
B	2	9	failing	rejected	DMSO	197.53391161805888	954.1507410695991	27	3.0	localhost230405150001	B02	25.0	25.0	35.0	35.0	f02	-2.2737517	1.6037145
B	2	9	failing	rejected	DMSO	1018.4477919161677	68.0187125748503	51	4.0	localhost230405150001	B02	1.0	1.0	2.0	2.0	f03	0.30502543	-0.81136906
B	2	9	failing	rejected	DMSO	927.6432177348552	116.46356453028973	51	4.0	localhost230405150001	B02	2.0	2.0	4.0	4.0	f03	-0.19726685	3.0335538
B	2	9	failing	rejected	DMSO	1015.5416515096399	125.64277919243361	51	4.0	localhost230405150001	B02	3.0	3.0	6.0	6.0	f03	0.320329	0.1596158
B	2	9	failing	rejected	DMSO	994.7578494623656	181.0204301075269	51	4.0	localhost230405150001	B02	7.0	7.0	11.0	11.0	f03	0.77152	3.5048146
B	2	9	failing	rejected	DMSO	910.3890461865157	250.04211643956822	51	4.0	localhost230405150001	B02	9.0	9.0	13.0	13.0	f03	-2.1536164	2.9344068
B	2	9	failing	rejected	DMSO	1050.455381080046	251.55610877058598	51	4.0	localhost230405150001	B02	10.0	10.0	14.0	14.0	f03	1.9536451	4.2861686
B	2	9	failing	rejected	DMSO	523.7262799856785	263.8412101682778	51	4.0	localhost230405150001	B02	11.0	11.0	15.0	15.0	f03	-1.3150665	0.9302424
B	2	9	failing	rejected	DMSO	271.3356728303415	305.20583074638955	51	4.0	localhost230405150001	B02	13.0	13.0	17.0	17.0	f03	-2.1921399	3.4889529
B	2	9	failing	rejected	DMSO	639.6364689877563	292.1529702221998	51	4.0	localhost230405150001	B02	14.0	14.0	18.0	18.0	f03	-2.02101	2.565375
B	2	9	failing	rejected	DMSO	958.2630947620952	355.38054778088764	51	4.0	localhost230405150001	B02	15.0	15.0	19.0	19.0	f03	-0.6187073	2.8321564
B	2	9	failing	rejected	DMSO	824.5666094018429	434.2331719506481	51	4.0	localhost230405150001	B02	17.0	17.0	21.0	21.0	f03	-0.5155658	3.7087533
B	2	9	failing	rejected	DMSO	455.4406505318329	403.14821951595496	51	4.0	localhost230405150001	B02	19.0	19.0	24.0	24.0	f03	-1.6488733	2.2773752
B	2	9	failing	rejected	DMSO	705.2042360060515	433.82299546142207	51	4.0	localhost230405150001	B02	20.0	20.0	25.0	25.0	f03	5.9934554	4.3244977
B	2	9	failing	rejected	DMSO	361.49089831513	456.34442468884936	51	4.0	localhost230405150001	B02	21.0	21.0	26.0	26.0	f03	-1.0365076	3.4746225
B	2	9	failing	rejected	DMSO	607.5048599199542	463.2879740804269	51	4.0	localhost230405150001	B02	22.0	22.0	27.0	27.0	f03	1.1291648	4.0576305
B	2	9	failing	rejected	DMSO	833.3418614299544	508.59756603512653	51	4.0	localhost230405150001	B02	23.0	23.0	29.0	29.0	f03	-0.76291937	4.497597
B	2	9	failing	rejected	DMSO	947.7752388087657	475.04926016107885	51	4.0	localhost230405150001	B02	24.0	24.0	30.0	30.0	f03	-0.59166014	4.0932083
B	2	9	failing	rejected	DMSO	459.914089347079	499.8008434864105	51	4.0	localhost230405150001	B02	25.0	25.0	31.0	31.0	f03	-0.72196794	3.210213
B	2	9	failing	rejected	DMSO	744.3020221787345	549.7573385518591	51	4.0	localhost230405150001	B02	27.0	27.0	33.0	33.0	f03	1.2262167	4.208164
B	2	9	failing	rejected	DMSO	399.28188147393445	573.4982170147733	51	4.0	localhost230405150001	B02	28.0	28.0	34.0	34.0	f03	0.28303003	4.087628
B	2	9	failing	rejected	DMSO	312.0452894680624	558.7515488143559	51	4.0	localhost230405150001	B02	29.0	29.0	35.0	35.0	f03	0.21843223	4.3519473
B	2	9	failing	rejected	DMSO	934.9774929665521	545.5673648015005	51	4.0	localhost230405150001	B02	30.0	30.0	36.0	36.0	f03	1.4754914	4.5354404
B	2	9	failing	rejected	DMSO	835.6679069767442	583.0163953488372	51	4.0	localhost230405150001	B02	31.0	31.0	37.0	37.0	f03	-0.60369796	4.722837
B	2	9	failing	rejected	DMSO	209.17499189101525	603.8229808627959	51	4.0	localhost230405150001	B02	33.0	33.0	40.0	40.0	f03	-1.4593936	4.714489
B	2	9	failing	rejected	DMSO	474.53169722057953	678.4477823772916	51	4.0	localhost230405150001	B02	34.0	34.0	41.0	41.0	f03	-1.1019305	2.8714895
B	2	9	failing	rejected	DMSO	346.94735074877445	705.675844469814	51	4.0	localhost230405150001	B02	36.0	36.0	44.0	44.0	f03	-2.096933	2.1450067
B	2	9	failing	rejected	DMSO	823.9945447933083	706.8020972239059	51	4.0	localhost230405150001	B02	37.0	37.0	45.0	45.0	f03	-1.2502975	4.936615
B	2	9	failing	rejected	DMSO	281.08129747485117	761.4481625949497	51	4.0	localhost230405150001	B02	38.0	38.0	46.0	46.0	f03	-0.5887856	3.9625251
B	2	9	failing	rejected	DMSO	756.8789769182782	836.6271990018715	51	4.0	localhost230405150001	B02	40.0	40.0	48.0	48.0	f03	-1.9189799	3.9082065
B	2	9	failing	rejected	DMSO	154.13215322656177	822.9199213262152	51	4.0	localhost230405150001	B02	41.0	41.0	49.0	49.0	f03	-0.8450988	3.62618
B	2	9	failing	rejected	DMSO	957.5666041275797	844.318574108818	51	4.0	localhost230405150001	B02	42.0	42.0	50.0	50.0	f03	1.5513595	5.169836
B	2	9	failing	rejected	DMSO	585.8142072728529	864.2346928203889	51	4.0	localhost230405150001	B02	44.0	44.0	53.0	53.0	f03	-2.6273305	2.2482657
B	2	9	failing	rejected	DMSO	827.6695813014966	851.4666218261308	51	4.0	localhost230405150001	B02	45.0	45.0	54.0	54.0	f03	0.7145688	4.5975757
B	2	9	failing	rejected	DMSO	235.75956388676357	881.7579061463912	51	4.0	localhost230405150001	B02	46.0	46.0	55.0	55.0	f03	0.47301143	-1.2297448
B	2	9	failing	rejected	DMSO	311.9947643979058	900.1410532799507	51	4.0	localhost230405150001	B02	47.0	47.0	56.0	56.0	f03	-0.45427287	0.48041546
B	2	9	failing	rejected	DMSO	487.70948942753995	968.3494584837545	51	4.0	localhost230405150001	B02	48.0	48.0	58.0	58.0	f03	-2.1463408	2.3911974
B	2	9	failing	rejected	DMSO	351.9281515349445	990.65142608317	51	4.0	localhost230405150001	B02	49.0	49.0	59.0	59.0	f03	0.55406994	4.7177963
B	2	9	failing	rejected	DMSO	674.9352474037875	994.9236408063531	51	4.0	localhost230405150001	B02	50.0	50.0	60.0	60.0	f03	6.834182	4.476426
B	2	9	failing	rejected	DMSO	270.4331206126356	216.52220804084237	28	5.0	localhost230405150001	B02	1.0	1.0	5.0	5.0	f04	-1.5310961	5.351474
B	2	9	failing	rejected	DMSO	832.2280134345068	336.3581291205374	28	5.0	localhost230405150001	B02	2.0	2.0	6.0	6.0	f04	-2.2360418	4.208179
B	2	9	failing	rejected	DMSO	103.45137842970335	359.4330430227228	28	5.0	localhost230405150001	B02	3.0	3.0	7.0	7.0	f04	-0.54243267	3.403606
B	2	9	failing	rejected	DMSO	637.3416044326668	410.9696458684654	28	5.0	localhost230405150001	B02	4.0	4.0	8.0	8.0	f04	1.5349036	4.278452
B	2	9	failing	rejected	DMSO	994.92644590264	456.4408667785747	28	5.0	localhost230405150001	B02	5.0	5.0	9.0	9.0	f04	-2.778254	1.88731
B	2	9	failing	rejected	DMSO	222.81081727483942	452.21145961459615	28	5.0	localhost230405150001	B02	6.0	6.0	10.0	10.0	f04	-2.2541144	1.7439644
B	2	9	failing	rejected	DMSO	877.8430203427197	471.5355246016635	28	5.0	localhost230405150001	B02	7.0	7.0	12.0	12.0	f04	-2.5335715	3.0022264
B	2	9	failing	rejected	DMSO	406.86821867097683	500.36421700252873	28	5.0	localhost230405150001	B02	8.0	8.0	13.0	13.0	f04	-1.9847252	2.040228
B	2	9	failing	rejected	DMSO	913.4051449711778	557.7896412285985	28	5.0	localhost230405150001	B02	9.0	9.0	14.0	14.0	f04	-0.30493554	3.6111567
